Year,CERF allocations for drought,CERF allocations for floods,CERF allocations for storms,CERF allocations for heat/cold waves,TOTAL climate related allocations ,TOTAL CERF allocations,Climate allocation
2006,61,30,1, -   ,92,257,36%
2007,5,34,53,2,93,353,26%
2008,106,43,45,7,201,429,47%
2009,41,28,9,4,81,397,20%
2010,63,54,16,4,136,415,33%
2011,98,48,3, -   ,150,427,35%
2012,96,40,12, -   ,147,490,30%
2013,24,24,28, -   ,77,482,16%
2014,26,17, -   , -   ,42,461,9%
2015,90,27,7,1,125,470,27%
2016,53,19,24,2,98,439,22%
2017,91,19,28,1,139,418,33%
2018,59,31,7, -   ,97,501,19%
2019,128,35,43, -   ,206,539,38%
2020,76,50,26, -   ,152,848,18%
2021,85,20,1, -   ,105,548,19%
Total,"1,102",519,303,21,"1,941","7,474",
Average,,,,,121.31,467.13,27%
